Full Entry,Hansi,Pinyin,OC,PoS,Definitions,MC_BS,MC_Pretty,BS_Gloss,Order
"最 zuì, *tsôs, adv, ‘extremely, most’, expressing the superlative of vst: 畫孰最難者 (HFei 32); 智氏最強 (SY 10); 最為天下貴 也 (Xun 9); with vn: 趙襄子最怨智伯 (SJ 86). Cf. Box 24.",最,zuì,*tsôs,adv,"‘extremely, most’, expressing the superlative of vst: 畫孰最難者 (HFei 32); 智氏最強 (SY 10); 最為天下貴 也(Xun 9); with vn: 趙襄子最怨智伯 (SJ 86). Cf. Box 24.",tswajH,tswàȷ,collect; most,52036
"忽 hū, *hmət̂ , adv, ‘suddenly’: 龍忽不 見 (LNZ 7.3); 忽然出，勃然動 (Zhuang 12); 人生天地之間，若白駒之過郤，忽 然而已 (Zhuang 22).",忽,hū,*hmət̂,adv,‘suddenly’: 龍忽不 見 (LNZ 7.3); 忽然出，勃然動(Zhuang 12); 人生天地之間，若白駒之過郤，忽 然而已(Zhuang 22).,xwot,xwot,careless; confused,52113
"或 huò, *wək̂ , adv [< 有, 74.2], ‘some, someone’: 宋人或得玉 (Zuo 9.15); 或問 子產 (LY 14.9). Cf. 7.3.",或,huò,*wək̂,adv [< 有,"74.2], ‘some, someone’: 宋人或得玉 (Zuo 9.15); 或問子產 (LY 14.9). Cf. 7.3.",hwok,hwok,some; or,52144
"或者 huozhě,*wək̂-taʔ,adv,‘maybe, perhaps’: 或者不可乎 (Meng 2B2).",或者,huozhě,*wək̂-taʔ,adv,"‘maybe, perhaps’: 或者不可乎 (Meng 2B2).",hwok tsyaeX,hwok ts̯áe,/ (nominalizing particle),52144
"各 gè, *kâk, adv [< 舉], ‘each; respectively’: 自王以下，各有父兄子弟 (Zuo 9.14). Cf. 7.3.",各,gè,*kâk,adv [< 舉],‘each; respectively’: 自王以下，各有父兄子弟 (Zuo 9.14). Cf. 7.3.,kak,kak,each,52158
"乎 hū, *ɦâ, ptint, with verbal P, a in yes-no questions: 魯可取乎 (Zuo 4.1); b in alt. questions: 事齊乎事楚乎 (Meng 1B13); c in suppositions: 吳其亡乎 (SY 9); d in exclamations: 參乎，吾道一以貫之 (LY 4.15). Cf. 5.3.1; 7.2.",乎,hū,*ɦâ,ptint,"with verbal P, a in yes-no questions: 魯可取乎 (Zuo 4.1); b in alt. questions: 事齊乎事楚乎 (Meng 1B13); c in suppositions: 吳其亡乎 (SY 9); d in exclamations: 參乎，吾道一以貫之 (LY 4.15). Cf. 5.3.1; 7.2.",hu,hū,(Q particle),52872
"乎 hū, *ɦâ, prep [< 於, 70.4], ‘in, at, on; from; by’, a with active P: 致孝乎鬼神 (LY 8.21); b with pass P: 德蕩乎名(Zhuang 26); 斥乎齊，逐乎宋衛 (SJ 47); c in comparisons: 福輕乎羽...禍重乎地 (Zhuang 4); d with 於: 財用於是乎 出...衣食於是乎生 (GY 1.3); cf. Box 23. Syn. 于[7.1], 於 [70.4]; cf. 8.2.",乎,hū,*ɦâ,prep [< 於 70.4]," ‘in, at, on; from; by’, a with active P: 致孝乎鬼神(LY 8.21); b with pass P: 德蕩乎名 (Zhuang 26); 斥乎齊，逐乎宋衛 (SJ 47); c in comparisons: 福輕乎羽...禍重乎地 (Zhuang 4); d with 於: 財用於是乎 出...衣食於是乎生 (GY 1.3); cf. Box 23. Syn. 于 [7.1], 於 [70.4]; cf. 8.2.",hu,hū,(Q particle),52872
"反 fǎn, *panʔ, vi, a itr, ‘return, go back to’: 吾不反矣(Zuo 8.15); 沈於樂者反於 憂 (Lü 20.5); b caus, ‘make return, call back’: 王如改諸，則必反予 (Meng 2B12); 故先王反之於農戰 (SJS 3); c pseudo-tr: 反齊滕之路 (Meng 2B6); 晉 文侯反國 (Lü 24.4).",反,fǎn,*panʔ,vi,"a itr, ‘return, go back to’: 吾不反矣 (Zuo 8.15); 沈於樂者反於 憂 (Lü 20.5); b caus, ‘make return, call back’: 王如改諸，則必反予 (Meng 2B12); 故先王反之於農戰 (SJS 3); c pseudo-tr: 反齊滕之路 (Meng 2B6); 晉 文侯反國(Lü 24.4).",baenX,báen,"dignified, grand",56861
"反 fǎn, *panʔ, vn, 1 ‘oppose, turn against, rebel’, a tr: 子不反親，臣不逆 主，先王之通誼也 (ZGC 19.4); 反古者 未可必非 (SJS 1); b itr: 蜀侯煇，相壯 反，秦使甘茂定蜀 (SJ 71); 2 adv ‘in turn, instead, on the contrary’: 今釋之，而反 抱兄之子，何也 (LNZ 5.6); 3 nc, ‘opposite’: 害者，利之反也 (HFei 46).",反,fǎn,*panʔ,vn,"1 ‘oppose, turn against, rebel’, a tr: 子不反親，臣不逆主，先王之通誼也 (ZGC 19.4); 反古者 未可必非 (SJS 1); b itr: 蜀侯煇，相壯 反，秦使甘茂定蜀 (SJ 71); 2 adv ‘in turn, instead, on the contrary’: 今釋之，而反 抱兄之子，何也 (LNZ 5.6); 3 nc, ‘opposite’: 害者，利之反也(HFei 46).",baenX,báen,"dignified, grand",56861
"善 shàn,*danʔ,vst,1‘begood,excellent’,a itr: 善哉問也(Meng 1B4); b caus, ‘approve of’: 武王善之 (Xun 25); ‘make sth. good, remedy’: 雖有智者，不能善其後矣 (Sun 2); c comp: 治地莫善於助，莫不善於貢 (Meng 3A3); d mod: 善人，吾不得而見 之矣 (LY 7.26); 2 adv, ‘do well, be skilled in’: 巧者善度，知者善豫 (HNan 16); 3 nc, ‘goodness’: 教人以善，謂之忠 (Meng 3A4); 善者，王教之化也 (CQFL 36). Syn. 良 [138.1]; ant. 惡 [61.8]; 拙 [64.5].",善,shàn,*danʔ,vst,"1‘begood,excellent’,a itr: 善哉問也 (Meng 1B4); b caus, ‘approve of’: 武王善之 (Xun 25); ‘make sth. good, remedy’: 雖有智者，不能善其後矣 (Sun 2); c comp: 治地莫善於助，莫不善於貢 (Meng 3A3); d mod: 善人，吾不得而見 之矣 (LY 7.26); 2 adv, ‘do well, be skilled in’: 巧者善度，知者善豫 (HNan 16); 3 nc, ‘goodness’: 教人以善，謂之忠 (Meng 3A4); 善者，王教之化也 (CQFL 36). Syn. 良 [138.1]; ant. 惡 [61.8]; 拙 [64.5].",dzyenX,dz̯én,good,56881
"坐 zuò, *dzôiʔ, vi, ‘sit, kneel’: a itr: 王坐 於堂上 (Meng 1A7); b caus: 坐之起之 (Li 11); c pseudo-tr: 寡人自坐地，二三子皆 坐地 (SY 17). Note: 坐means kneeling (on a mat) with the feet underneath the buttocks, which was the proper way to ‘sit’ in Ancient China (there were no chairs). A more casual way of sitting—cross-legged or with legs pending—was called 踞 [157.8]. Sitting with outstretched legs, 箕踞, was considered highly improper.",坐,zuò,*dzôiʔ,vi,"‘sit, kneel’: a itr: 王坐 於堂上 (Meng 1A7); b caus: 坐之起之 (Li 11); c pseudo-tr: 寡人自坐地，二三子皆 坐地(SY 17). Note: 坐means kneeling (on a mat) with the feet underneath the buttocks, which was the proper way to ‘sit’ in Ancient China (there were no chairs). A more casual way of sitting—cross-legged or with legs pending—was called 踞 [157.8]. Sitting with outstretched legs, 箕踞, was considered highly improper.",dzwaX,dzwá,sit,56912
"舜 Shùn, *hwins, np, a mythical sage ruler: 堯欲傳天下於舜 (HFei 13). Cf. Focus 7.",舜,Shùn,*hwins,np,a mythical sage ruler: 堯欲傳天下於舜 (HFei 13). Cf. Focus 7.,sywinH,s̯wı̀n,Hibiscus,59350
"父 fù, *baʔ, nc, ‘father’: 故父母之愛不 足以教子 (HFei 49); more generally, ‘elders’, meaning male relatives of elder generations: 視父兄與君若其身 (Mo 14). Ant. 子[39.0], 母 [80.1].",父,fù,*baʔ,nc,"‘father’: 故父母之愛不 足以教子 (HFei 49); more generally, ‘elders’, meaning male relatives of elder generations: 視父兄與君若其身 (Mo 14). Ant. 子 [39.0], 母 [80.1].",bjuX,bȷú,father,59364
"大父 dàfù,*dâs-baʔ,nc,‘grandfather’: 大父未死而有二十五孫 (HFei 49).",大父,dàfù,*dâs-baʔ,nc,‘grandfather’: 大父未死而有二十五孫 (HFei 49).,daH bjuX,dà bȷú,big / father,59364
"箕 jī, *kə, nc, ‘winnowing fan, basket’:良弓之子，必學為箕 (Li 18). Cf. Focus 4. 10",箕,jī,*kə,nc,"‘winnowing fan, basket’:良弓之子，必學為箕 (Li 18). Cf. Focus 4. 10",ki,kı̄,winnowing basket,59372
"作 zuò, *tsâk, vi, ‘arise, emerge; be active’, a itr: 是故聖人作，為禮以教人 (Li 1); 日出而作 (Zhuang 28); b caus, ‘make, build, produce, compose’: 聖人作 樂 (Li 19); c mod: 以此食作夫五萬 (SJS 15).",作,zuò,*tsâk,vi,"‘arise, emerge; be active’, a itr: 是故聖人作，為禮以教人 (Li 1); 日出而作 (Zhuang 28); b caus, ‘make, build, produce, compose’: 聖人作 樂 (Li 19); c mod: 以此食作夫五萬 (SJS 15).",tsak,tsak,"do, work",59540
"樂 lè,*râuk,nc,1‘happiness,joy,delight’: 吾樂甚多 (SY 17); 2 vst, ‘be happy, joyful’, a itr: 有朋自遠方來，不亦樂乎(LY 1.1); b caus, ‘make happy, please’: 樂之勿苦 (SY 7); c comp: 聽人以言，樂於鐘鼓琴瑟 (Xun 5). Ant. 苦 [140.5].",樂,lè,*râuk,nc,"1‘happiness,joy,delight’: 吾樂甚多 (SY 17); 2 vst, ‘be happy, joyful’, a itr: 有朋自遠方來，不亦樂乎 (LY 1.1); b caus, ‘make happy, please’: 樂之勿苦 (SY 7); c comp: 聽人以言，樂於鐘鼓琴瑟 (Xun 5). Ant. 苦 [140.5].",lak,lak,to cure,59550
"樂 yuè, *ŋrâuk [probably cognate to preceding], nc, 1 ‘music’: 臣請為王言樂 (Meng 1B1); 2 np, the ‘Canon of Music’: 順 先王詩書禮樂以造士 (Li 5).",樂,yuè,*ŋrâuk [probably cognate to preceding],nc,"1 ‘music’: 臣請為王言樂 (Meng 1B1); 2 np, the ‘Canon of Music’: 順 先王詩書禮樂以造士 (Li 5).",ngaewk,ngaewk,music,59550
"樂 yào, *ŋrâuks, vn, ‘rejoice, delight in’, tr: 知者樂水，仁者樂山 (LY 6.23); 安其 居，樂其俗 (Lao 80); 君明則樂官不明 則樂音 (ZGC 22.6).",樂,yào,*ŋrâuks,vn,"‘rejoice, delight in’, tr: 知者樂水，仁者樂山 (LY 6.23); 安其 居，樂其俗 (Lao 80); 君明則樂官不明 則樂音 (ZGC 22.6).",ngaewH,ngàew,cause to rejoice,59550
"奴 nú,*nâ,nc,‘slave’:箕子為之奴(LY 18.1); 田事聽此奴， 必與同食 (SJ 100).",奴,nú,*nâ,nc,‘slave’:箕子為之奴(LY 18.1); 田事聽此奴， 必與同食 (SJ 100).,nu,nū,slave,59563
"近 jìn, *gənʔ, vst,‘be close, near’, a itr: 言 近而指遠者，善言也 (Meng 5A7); 齊滕 之路，不為近矣 (Meng 2B6); b caus: 遠 者近之，而舊者新之 (Mo 46); c comp: 莫近於仁，莫急於智 (CQFL 30); 撥亂 世反之正，莫近於春秋 (SJ 130); d mod, ‘near, close’: 近古之世，桀紂暴亂，而 湯武征伐 (HFei 49). Ant. 遠 [162.10].",近,jìn,*gənʔ,vst,"‘be close, near’, a itr: 言 近而指遠者，善言也 (Meng 5A7); 齊滕 之路，不為近矣 (Meng 2B6); b caus: 遠 者近之，而舊者新之 (Mo 46); c comp: 莫近於仁，莫急於智 (CQFL 30); 撥亂 世反之正，莫近於春秋 (SJ 130); d mod, ‘near, close’: 近古之世，桀紂暴亂，而 湯武征伐(HFei 49). Ant. 遠 [162.10].",gj+nX,gȷų́n,near,61507
"近 jìn, *gəns, [< preceding], vn, ‘come close, approach’, a tr: 知所先後，則近道 矣 (Li 42); b itr: 是故至孝近乎王 (Li 24).",近,jìn,*gəns,vn [< preceding],"‘come close, approach’, a tr: 知所先後，則近道 矣(Li 42); b itr: 是故至孝近乎王 (Li 24).",gj+nX,gȷų́n,near,61507
"是 shì, *deʔ, vst, 1 ‘be right, correct, hold true’, a itr: 偃之言是也 (LY 17.3); 自 天子以至於庶人，壹是 (Li 42); b caus, ‘regard as right, approve’: 欲是其所非而 非其所是，則莫若以明 (Zhuang 2); 不 是師法，而好自用 (Xun 2); 2 nc, ‘right’: 以是為非 (Lü 18.4). Ant. 非 [175.0].",是,shì,*deʔ,vst,"1 ‘be right, correct, hold true’, a itr: 偃之言是也 (LY 17.3); 自 天子以至於庶人，壹是 (Li 42); b caus, ‘regard as right, approve’: 欲是其所非而 非其所是，則莫若以明 (Zhuang 2); 不 是師法，而好自用 (Xun 2); 2 nc, ‘right’: 以是為非 (Lü 18.4). Ant. 非 [175.0].",dzyeX,dz̯é,this,66470
"是 shì, *deʔ, prdem, ‘this, these’, referring to a topic in question, a S: 是宜為君 (Zuo 3.11); b resuming an anteposed O: 唯 敵是 求 (Zuo 7.12); cf. 14.2; c mod: 是夫也將不 唯衛國之敗 (Zuo 8.14); also ‘the same’: 官以是豕來也 (Lü 17.3). Cf. note at 此 [77.2].",是,shì,*deʔ,prdem,"‘this, these’, referring to a topic in question, a S: 是宜為君 (Zuo 3.11); b resuming an anteposed O: 唯 敵是求 (Zuo 7.12); cf. 14.2; c mod: 是夫也將不 唯衛國之敗(Zuo 8.14); also ‘the same’: 官以是豕來也 (Lü 17.3). Cf. note at 此 [77.2].",dzyeX,dz̯é,this,66470
"著/箸 zhù, *trakh, vtr, ‘make manifest, display’, a tr: 病鄭也，著鄭伯子罪 也 (GLiang 5.6); esp.‘write down’: 於是老 子乃著書上下篇 (SJ 63); b pseudo-tr2: 舉 之表旗，而著之制令 (Zuo 10.1); 請著 之竹帛，宣布天下 (SJ 10); c pass: 誠則 形，形則著，著則明 (Li 31); 如此，則 臣忠君明，治著而兵強矣 (SJS 9); esp. ‘be written’: 著於丹書 (Zuo 9.23); 著在周 之春秋 (Mo 31).",著/箸,zhù,*trakh,vtr,"‘make manifest, display’, a tr: 病鄭也，著鄭伯子罪 也(GLiang 5.6); esp.‘write down’: 於是老 子乃著書上下篇(SJ 63); b pseudo-tr2: 舉 之表旗，而著之制令 (Zuo 10.1); 請著 之竹帛，宣布天下 (SJ 10); c pass: 誠則形，形則著，著則明 (Li 31); 如此，則 臣忠君明，治著而兵強矣 (SJS 9); esp. ‘be written’: 著於丹書 (Zuo 9.23); 著在周 之春秋 (Mo 31).",trjoH,ṭȷò,place (n.); visible,66539
"社 shè, *daʔ, nc, ‘altar of (the god of) the soil’: 諸侯自立社 (Li 23).",社,shè,*daʔ,nc,‘altar of (the god of) the soil’: 諸侯自立社 (Li 23).,dzyaeX,dz̯áe,sacrifice to the spirit of the soil,67585
"會 huì, *gôts, nc, 1 ‘meeting, conference’: 齊桓為幽之會，衛不到 (CQFL 8); 2 vn, ‘meet, come together (with)’, a tr: 秦會諸侯於周 (SJ 4); b itr: 十六年，會 于曹 (SJ 33); 陰陽會於中冬 (CQFL 46); c pseudo-tr: 與魯定公好會夾谷(SJ 32).",會,huì,*gôts,nc,"1 ‘meeting, conference’: 齊桓為幽之會，衛不到 (CQFL 8); 2 vn, ‘meet, come together (with)’, a tr: 秦會諸侯於周 (SJ 4); b itr: 十六年，會 于曹 (SJ 33); 陰陽會於中冬(CQFL 46); c pseudo-tr: 與魯定公好會夾谷 (SJ 32).",hwajH,hwàȷ,meeting; have a meeting,67586
"會 kuài,*gwât/gôts,nc,‘account, financial record’: 會計當而已矣 (Meng 5B5); 誰習計會 (ZGC 11.1).",會,kuài,*gwât/gôts,nc,"‘account, financial record’: 會計當而已矣 (Meng 5B5); 誰習計會 (ZGC 11.1).",kwajH,kwàȷ,calculate; calculation,67586
"族 zú, *dzôk, nc, ‘lineage, extended family’: 父母宗族...為戮沒 (ZGC 31.5). Cf. note at 宗 [40.5].",族,zú,*dzôk,nc,"‘lineage, extended family’: 父母宗族...為戮沒 (ZGC 31.5). Cf. note at 宗 [40.5].",dzuwk,dzuwk,clan,67601
"由 yóu,*ju,vn,1‘proceedfrom,goalong, follow’, tr: 誰能出不由戶 (LY 6.17); 塗有 所不由， 軍有所不擊 (Sun 8); 2 prep, ‘from’, a local: 水由地中行 (Meng 3B9); 由 君子觀之(Meng 4B33); b temp: 由湯至於 武丁 (Meng 2A1); 由九月以下何也 (Xun19); c with print: 何由知吾可也 (Meng 1A7); 奚由相得 (Lü 16.3); d with prind: 無由 相得 (Lü 16.3); 有由然也 (Zuo 12.7).",由,yóu,*ju,vn,"1‘proceedfrom,goalong, follow’, tr: 誰能出不由戶 (LY 6.17); 塗有 所不由， 軍有所不擊 (Sun 8); 2 prep, ‘from’, a local: 水由地中行 (Meng 3B9); 由 君子觀之 (Meng 4B33); b temp: 由湯至於 武丁 (Meng 2A1); 由九月以下何也 (Xun19); c with print: 何由知吾可也 (Meng 1A7); 奚由相得 (Lü 16.3); d with prind: 無由 相得 (Lü 16.3); 有由然也 (Zuo 12.7).",yuw,yūw,follow; from,67615
"與/予 yǔ, *laʔ, vn, ‘give’, a tr with Od: 秦又多予金 (SJ 46); b tr with Oi: 欲與大叔 (Zuo 1.1); c tr with Oi and PrP: 堯以天 下與舜 (Meng 5A5); d tr2: 與犬肉 (GY 8.1); 予之法制，告之訓典 (Zuo 5.23); cf. 5.2.2; e itr: 怒不過奪，喜不過予 (Xun 2); 上以功勞與，則民戰;上以詩書 與，則民學問(SJS 23). Ant. 奪 [37.11].",與/予,yǔ,*laʔ,vn,"‘give’, a tr with Od: 秦又多予金 (SJ 46); b tr with Oi: 欲與大叔 (Zuo 1.1); c tr with Oi and PrP: 堯以天 下與舜(Meng 5A5); d tr2: 與犬肉 (GY 8.1); 予之法制，告之訓典 (Zuo 5.23); cf. 5.2.2; e itr: 怒不過奪，喜不過予 (Xun 2); 上以功勞與，則民戰;上以詩書 與，則民學問 (SJS 23). Ant. 奪 [37.11].",yoX,yó,give; for; and,68510
"與 yǔ, *laʔ, conj, 1 ‘and, or’: 天地 與我 (Zhuang 2); 利與命與仁 (LY 9.1); cf. 2.3; 2 prep, ‘with’: 與朋友交而不信乎(LY 1.4); cf. 9.4 and note at 及 [29.2].",與,yǔ,*laʔ,conj,"1 ‘and, or’: 天地 與我 (Zhuang 2); 利與命與仁 (LY 9.1); cf. 2.3; 2 prep, ‘with’: 與朋友交而不信乎 (LY 1.4); cf. 9.4 and note at 及 [29.2].",yoX,yó,give; for; and,68510
"與 yù,*lah,vn,1‘join, associate with; participate, be involved in’, a tr: 誰子之與也 (Xun 11); b itr: 後死者不得與於斯文也 (LY 9.5); 小功可以與於祭乎 (Li 7); c mod (!):齊韓，周之與國也 (ZGC 3.7); d pass with C: 民不可與慮始，而可與樂成 (SJS 1); 拘禮之人，不足與言事 (SJS 1); 2 adv: 既而與為公介 (Zuo 7.2); 與聞國政三月 (SJ 47).",與,yù,*lah,vn,"1‘join, associate with; participate, be involved in’, a tr: 誰子之與也 (Xun 11); b itr: 後死者不得與於斯文也 (LY 9.5); 小功可以與於祭乎 (Li 7); c mod (!):齊韓，周之與國也 (ZGC 3.7); d pass with C: 民不可與慮始，而可與樂成 (SJS 1); 拘禮之人，不足與言事 (SJS 1); 2 adv: 既而與為公介 (Zuo 7.2); 與聞國政三月 (SJ 47).",yoH,yò,participate in,68510
"月 yuè, *ŋwat, nc, 1 ‘moon’: 日月所 照...莫不尊親 (Li 31); 2 ntemp, ‘month’: 自十月不雨至于五月 (Zuo 5.3).",月,yuè,*ŋwat,nc,"1 ‘moon’: 日月所 照...莫不尊親 (Li 31); 2 ntemp, ‘month’: 自十月不雨至于五月 (Zuo 5.3).",ngjwot,ngȷwot,"moon, month",69949
"冬 dōng, *tûŋ, ntemp, ‘winter’: 冬與夏不 能兩刑，草與稼不能兩成 (Lü 24.5); 天 有四時，春秋冬夏 (Li 29); 冬者，天之 威也 (CQFL 79).",冬,dōng,*tûŋ,ntemp,‘winter’: 冬與夏不 能兩刑，草與稼不能兩成 (Lü 24.5); 天 有四時，春秋冬夏 (Li 29); 冬者，天之 威也 (CQFL 79).,towng,tōwng,winter,71377
"北 běi/bò, *pək̂ , nloc, 1 ‘north’: 東西南 北，莫敢不服(ZGC 11.5); 2 vi, ‘be/move north’, itr: 南之人不得北，北之人不得 南 (Mo 47); 日北，則景長多寒 (ZL 18).",北,běi,*pək̂,nloc,"1 ‘north’: 東西南 北，莫敢不服 (ZGC 11.5); 2 vi, ‘be/move north’, itr: 南之人不得北，北之人不得 南 (Mo 47); 日北，則景長多寒 (ZL 18).",pok,pok,north,71508
"湯 Tāng, *lhâŋ, np, founder of the Shang dynasty: 湯與桀戰於鳴條之野 (SJS 17); 湯放桀，武王伐紂, (Meng 1B15). Cf. Focus 7.",湯,Tāng,*lhâŋ,np,"founder of the Shang dynasty: 湯與桀戰於鳴條之野(SJS 17); 湯放桀，武王伐紂, (Meng 1B15). Cf. Focus 7.",thang,thāng,hot liquid,71516
"兄 xiōng, *hwraŋ, nc, ‘older brother’: 其 兄自外至 (Meng 3B10); 四海之內皆兄弟 也 (LY 12.5). Syn. 昆 [72.4]; ant. 第[57.4].",兄,xiōng,*hwraŋ,nc,‘older brother’: 其 兄自外至 (Meng 3B10); 四海之內皆兄弟 也 (LY 12.5). Syn. 昆 [72.4]; ant. 第 [57.4].,xjwaeng,xȷwāeng,elder brother,71521
"弟 dì, *dîʔ, nc, ‘younger brother’: 四海 之內皆兄弟也 (LY 12.5). Ant. 兄 [10.3], 昆 [72.4].",弟,dì,*dîʔ,nc,"‘younger brother’: 四海 之內皆兄弟也 (LY 12.5). Ant. 兄[10.3], 昆 [72.4].",dejX,déȷ,younger brother,71523
"弟子 dìzǐ, *dîʔ-tsəʔ, nc, ‘disciple’: 弟 子事夫子有年矣(HSWZ 8); 孔子以詩 書禮樂教，弟子蓋三千焉 (SJ 47). Note: 弟子, literally ‘younger brothers and sons’, is specifically used for the disciples of Confucius. Indeed, it appears that quite a few of the master’s followers were his relatives. Confucius less prominent disciples were called 門人 [169.0]: literally ‘those [waiting] at the gate’.",弟子,dìzǐ,*dîʔ-tsəʔ,nc,"‘disciple’: 弟 子事夫子有年矣 (HSWZ 8); 孔子以詩 書禮樂教，弟子蓋三千焉 (SJ 47). Note: 弟子, literally ‘younger brothers and sons’, is specifically used for the disciples of Confucius. Indeed, it appears that quite a few of the master’s followers were his relatives. Confucius less prominent disciples were called 門人[169.0]: literally ‘those [waiting] at the gate’.",dejX tsiX,déȷ tsı́,younger brother / 1st earthly branch,71523
"臣 chén, *gin, nc, 1 ‘servant, subject; minister’: 臣，王之臣也 (ZGC 19.5); 2 vi, ‘be/act as subject’, a itr: 君君，臣 臣，父父，子子 (LY 12.11); 夫韓雖臣 於秦，未嘗不為秦病 (HFei 2); b caus: 見且由不得亟，而況得而臣之乎(Meng 7A8); c pseudo-tr: 左儒友於杜 伯，皆臣周宣王 (SY 4). Ant. 君 [30.4]; dist. 巨 [48.2].",臣,chén,*gin,nc,"1 ‘servant, subject; minister’: 臣，王之臣也 (ZGC 19.5); 2 vi, ‘be/act as subject’, a itr: 君君，臣 臣，父父，子子(LY 12.11); 夫韓雖臣 於秦，未嘗不為秦病 (HFei 2); b caus: 見且由不得亟，而況得而臣之乎 (Meng 7A8); c pseudo-tr: 左儒友於杜 伯，皆臣周宣王 (SY 4). Ant. 君[30.4]; dist. 巨 [48.2].",dzyin,dz̯ı̄n,"slave, subject",71531
"大夫 dàfū, *dâs-pa, nc, ‘dignitary’: 禮 不下庶人，刑不上大夫 (Li 1). Cf. note at 士 [33.0].",大夫,dàfū,*dâs-pa,nc,‘dignitary’: 禮 不下庶人，刑不上大夫 (Li 1). Cf. note at 士 [33.0].,daH pju,dà pȷū,big / man,71536
"夫 fú,*ba,prdem,1‘this,that’,mod:非夫 人之為慟而誰為(LY 11.10); 夫人不言， 言必有中 (LY 11.14); 公嗾夫獒焉(Zuo 7.2); cf. 彼 [60.6], and 20.3–37; 2 ptemp, ‘well, now’: 夫上之所為，民之歸也 (Zuo 10.21); 王往而征之，夫誰與王敵 (Meng 1A5); cf. 今 [9.2], and 18.3–18.",夫,fú,*ba,prdem,"1‘this,that’,mod:非夫 人之為慟而誰為 (LY 11.10); 夫人不言， 言必有中 (LY 11.14); 公嗾夫獒焉 (Zuo 7.2); cf. 彼 [60.6], and 20.3–37; 2 ptemp, ‘well, now’: 夫上之所為，民之歸也 (Zuo 10.21); 王往而征之，夫誰與王敵(Meng 1A5); cf. 今 [9.2], and 18.3–18.",bju,bȷū,"this, that",71536
"夫 fú, *ba, pt [< 不乎], ‘isn't it?’, final: 亦可以弗畔矣夫 (LY 6.27). Cf. Box 16.",夫,fú,*ba,pt [< 不乎],"‘isn't it?’, final: 亦可以弗畔矣夫 (LY 6.27). Cf. Box 16.",bju,bȷū,"this, that",71536
"夫 fū, *pa, nc, ‘husband’: 夫妻不 和，家室大凶 (SY 10.7). Cf. 丈夫 [1.2]; ant. 妻 [38.5], 婦 [38.8].",夫,fū,*pa,nc,"‘husband’: 夫妻不 和，家室大凶 (SY 10.7). Cf. 丈夫[1.2]; ant. 妻 [38.5], 婦 [38.8].",pju,pȷū,man,71536
"夫人 fūrén, *pa-nin, nc, ‘lady, wife (of a ruler)’: 邦君之妻， 君稱之曰夫 人...邦人稱之曰君夫人 (LY 16.14); 夫 人將啟之 (Zuo 1.1).",夫人,fūrén,*pa-nin,nc,"‘lady, wife (of a ruler)’: 邦君之妻， 君稱之曰夫 人...邦人稱之曰君夫人 (LY 16.14); 夫 人將啟之 (Zuo 1.1).",pju nyin,pȷū n̯ı̄n,man / (other) person,71536
"夫子 fūzǐ, *pa-tsəʔ, nc, ‘master’: 吾聞 諸夫子 (LY 19.17).",夫子,fūzǐ,*pa-tsəʔ,nc,‘master’: 吾聞 諸夫子 (LY 19.17).,pju tsiX,pȷū tsı́,man / 1st earthly branch,71536
"婦 fù, *bəʔ, nc, ‘married woman’: 父子 有親，君臣有義，夫婦有別，長幼有 序，朋友有信 (Meng 3A4). Ant. 夫[37.1]. Note: While 婦 is the most common word for a married woman, CC has a number of specific words for wives of different ranks: 天子之妃曰后，諸侯曰 夫人，大夫曰孺人， 士曰婦人，庶人 曰妻 (Li 2). Cf. note at 妻 [38.5].",婦,fù,*bəʔ,nc,"‘married woman’: 父子 有親，君臣有義，夫婦有別，長幼有 序，朋友有信 (Meng 3A4). Ant. 夫 [37.1]. Note: While 婦 is the most common word for a married woman, CC has a number of specific words for wives of different ranks: 天子之妃曰后，諸侯曰 夫人，大夫曰孺人， 士曰婦人，庶人 曰妻 (Li 2). Cf. note at 妻 [38.5].",bjuwX,bȷúw,"woman, wife",71537
"婦人 fùrén,*bəʔ-nin,nc,‘woman;wife (of an officer)’: 古者，丈夫不耕...婦人 不織 (HFei 49). Ant. 丈夫 [1.2].",婦人,fùrén,*bəʔ-nin,nc,‘woman;wife (of an officer)’: 古者，丈夫不耕...婦人 不織 (HFei 49). Ant. 丈夫 [1.2].,bjuwX nyin,bȷúw n̯ı̄n,"woman, wife / (other) person",71537
